,Value of dwelling stock; Owned by Households ;  New South Wales ;,Value of dwelling stock; Owned by Households ;  Victoria ;,Value of dwelling stock; Owned by Households ;  Queensland ;,Value of dwelling stock; Owned by Households ;  South Australia ;,Value of dwelling stock; Owned by Households ;  Western Australia ;,Value of dwelling stock; Owned by Households ;  Tasmania ;,Value of dwelling stock; Owned by Households ;  Northern Territory ;,Value of dwelling stock; Owned by Households ;  Australian Capital Territory ;,Value of dwelling stock; Owned by Households ;  Australia ;,Value of dwelling stock; Owned by Non-Households ;  New South Wales ;,Value of dwelling stock; Owned by Non-Households ;  Victoria ;,Value of dwelling stock; Owned by Non-Households ;  Queensland ;,Value of dwelling stock; Owned by Non-Households ;  South Australia ;,Value of dwelling stock; Owned by Non-Households ;  Western Australia ;,Value of dwelling stock; Owned by Non-Households ;  Tasmania ;,Value of dwelling stock; Owned by Non-Households ;  Northern Territory ;,Value of dwelling stock; Owned by Non-Households ;  Australian Capital Territory ;,Value of dwelling stock; Owned by Non-Households ;  Australia ;,Value of dwelling stock; Owned by All Sectors ;  New South Wales ;,Value of dwelling stock; Owned by All Sectors ;  Victoria ;,Value of dwelling stock; Owned by All Sectors ;  Queensland ;,Value of dwelling stock; Owned by All Sectors ;  South Australia ;,Value of dwelling stock; Owned by All Sectors ;  Western Australia ;,Value of dwelling stock; Owned by All Sectors ;  Tasmania ;,Value of dwelling stock; Owned by All Sectors ;  Northern Territory ;,Value of dwelling stock; Owned by All Sectors ;  Australian Capital Territory ;,Value of dwelling stock; Owned by All Sectors ;  Australia ;,Mean price of residential dwellings ;  New South Wales ;,Mean price of residential dwellings ;  Victoria ;,Mean price of residential dwellings ;  Queensland ;,Mean price of residential dwellings ;  South Australia ;,Mean price of residential dwellings ;  Western Australia ;,Mean price of residential dwellings ;  Tasmania ;,Mean price of residential dwellings ;  Northern Territory ;,Mean price of residential dwellings ;  Australian Capital Territory ;,Mean price of residential dwellings ;  Australia ;,Number of residential dwellings ;  New South Wales ;,Number of residential dwellings ;  Victoria ;,Number of residential dwellings ;  Queensland ;,Number of residential dwellings ;  South Australia ;,Number of residential dwellings ;  Western Australia ;,Number of residential dwellings ;  Tasmania ;,Number of residential dwellings ;  Northern Territory ;,Number of residential dwellings ;  Australian Capital Territory ;,Number of residential dwellings ;  Australia ;
Unit,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,000,000,000,000,000,000,000,000,000
Series Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original
Data Type,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK
Frequency,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter
Collection Month,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Series Start,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011,Sep-2011
Series End,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021,Dec-2021
No. Obs,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
Series ID,A83728603C,A83728608R,A83728613J,A83728618V,A83728623L,A83728628X,A83728633T,A83728638C,A83728643W,A83728604F,A83728609T,A83728614K,A83728619W,A83728624R,A83728629A,A83728634V,A83728639F,A83728644X,A83728606K,A83728611C,A83728616R,A83728621J,A83728626V,A83728631L,A83728636X,A83728641T,A83728646C,A83728607L,A83728612F,A83728617T,A83728622K,A83728627W,A83728632R,A83728637A,A83728642V,A83728647F,A83728605J,A83728610A,A83728615L,A83728620F,A83728625T,A83728630K,A83728635W,A83728640R,A83728645A
Sep-2011,1453495.0,1121374.8,723858.5,253939.4,464342.1,65479.7,30196.1,72384.2,4185069.8,81724.2,39994.5,41332.9,20465.6,30010.2,4835.5,8491.3,6930.0,233784.2,1535219.2,1161369.3,765191.3,274405.0,494352.4,70315.2,38687.4,79314.2,4418854.0,540.8,512.6,428.8,379.9,524.8,305.1,522.7,547.5,490.8,2839.0,2265.6,1784.5,722.3,942.0,230.5,74.0,144.9,9002.7
Dec-2011,1442134.3,1114587.1,721480.1,257468.3,463152.5,66647.4,27445.0,74701.4,4167616.1,80951.0,39702.2,41259.4,20956.0,30183.9,4972.1,7694.2,7193.2,232911.9,1523085.2,1154289.4,762739.5,278424.3,493336.4,71619.5,35139.3,81894.6,4400528.1,535.3,506.6,425.7,384.3,521.4,310.0,472.5,561.5,486.9,2845.1,2278.3,1791.7,724.6,946.3,231.1,74.4,145.8,9037.2
Mar-2012,1476077.7,1104613.8,717810.5,253614.0,474579.7,65710.3,26899.0,73903.0,4193208.0,83283.6,39263.9,40876.1,20520.8,31311.8,4870.0,7783.1,7030.4,234939.6,1559361.3,1143877.6,758686.5,274134.8,505891.6,70580.3,34682.1,80933.4,4428147.6,547.1,500.0,422.4,377.4,532.4,304.7,464.6,553.0,488.6,2850.3,2287.7,1796.2,726.3,950.2,231.6,74.7,146.4,9063.4
Jun-2012,1492911.0,1110654.2,722320.4,254790.2,475476.2,63755.8,26825.8,74278.5,4221012.0,84369.7,39376.6,41137.4,20621.6,31021.0,4770.4,7536.0,7143.9,235976.8,1577280.7,1150030.9,763457.8,275411.8,506497.2,68526.2,34361.8,81422.5,4456988.8,552.2,500.2,423.2,378.1,530.4,295.2,457.3,552.2,489.9,2856.3,2299.2,1803.9,728.5,954.9,232.1,75.1,147.5,9097.6
